key_words,key_values
route office,0.26
setting exposed,0.26
sextants setting,0.26
stop en,0.26
always destination,0.23
ante when,0.23
aptly named,0.23
caffeination excellent,0.23
coffee collaboration,0.23
coffee manufactory,0.23
coincide opening,0.23
collaboration coincide,0.23
destination morning,0.23
launched coffee,0.23
manufactory aptly,0.23
morning caffeination,0.23
named coffee,0.23
opening tartine,0.23
pastries tartine,0.23
tartine manufactory,0.23
tartine upped,0.23
upped ante,0.23
when launched,0.23
beans roasted,0.29
bright pleasant,0.29
cup drip,0.29
dining room,0.29
espresso drink,0.29
into bright,0.29
oakland sourced,0.29
pleasant dining,0.29
roasted oakland,0.29
room cup,0.29
sourced directly,0.29
stop into,0.29
accompany first,0.33
baking accompany,0.33
bread baking,0.33
breakfast smell,0.33
first cup,0.33
hot breakfast,0.33
no wifi,0.33
smell bread,0.33
theres no,0.33
addition equators,0.35
continued improve,0.35
equators first,0.35
first sf,0.35
improve options,0.35
midmarket continued,0.35
options addition,0.35
sf location,0.35
along beer,0.27
beer wine,0.27
brew along,0.27
coffee espresso,0.27
cold brew,0.27
drinks single,0.27
drip coffee,0.27
espresso drinks,0.27
offer drip,0.27
origin pourovers,0.27
pourovers teas,0.27
single origin,0.27
teas cold,0.27
wine tap,0.27
food including,0.33
grain salads,0.33
including togo,0.33
items like,0.33
like grain,0.33
salads sweet,0.33
savory toasts,0.33
sweet savory,0.33
togo items,0.33
coffee shops,0.3
corner victorian,0.3
five coffee,0.3
has five,0.3
latest stunningly,0.3
name latest,0.3
shops name,0.3
sightglass has,0.3
stunningly updated,0.3
updated corner,0.3
victorian divisadero,0.3
beautiful roastery,0.28
big beautiful,0.28
centerpiece pour,0.28
cold brews,0.28
drinks cold,0.28
espresso drinks,0.28
flagship location,0.28
location big,0.28
overs espresso,0.28
pour overs,0.28
remains flagship,0.28
roastery centerpiece,0.28
soma remains,0.28
affogato bar,0.28
ample seating,0.28
bar serving,0.28
cream mezzanine,0.28
ice cream,0.28
often packed,0.28
packed affogato,0.28
portlands salt,0.28
salt straw,0.28
seating though,0.28
serving portlands,0.28
straw ice,0.28
though often,0.28
around over,0.29
beach location,0.29
been around,0.29
caffe trieste,0.29
espresso masses,0.29
has been,0.29
location caffe,0.29
north beach,0.29
over years,0.29
serving espresso,0.29
trieste has,0.29
years serving,0.29
art poetry,0.29
be found,0.29
crowd neighborhood,0.29
discussing art,0.29
found discussing,0.29
host crowd,0.29
more sidewalk,0.29
music more,0.29
neighborhood regulars,0.29
poetry music,0.29
regulars be,0.29
sidewalk outside,0.29
be seen,0.33
bonus institution,0.33
day night,0.33
institution where,0.33
live music,0.33
music bonus,0.33
performers be,0.33
seen day,0.33
where performers,0.33
addition fidi,0.28
baked goods,0.28
barrel coffee,0.28
bitsy addition,0.28
brings four,0.28
coffee baked,0.28
coffee scene,0.28
fidi coffee,0.28
four barrel,0.28
goods neighbor,0.28
itsy bitsy,0.28
neighbor bakehouse,0.28
scene brings,0.28
attraction spirit,0.38
drinks main,0.38
espresso drinks,0.38
keeping things,0.38
main attraction,0.38
spirit keeping,0.38
things simple,0.38
enjoy neighborhood,0.38
feel hang,0.38
hang enjoy,0.38
neighborhood vibe,0.38
only feel,0.38
room only,0.38
standing room,0.38
basis offering,0.22
coffee highly,0.22
coffee shop,0.22
cold brew,0.22
curated coffee,0.22
drinks nitro,0.22
espresso drinks,0.22
former techie,0.22
hamid rafati,0.22
highly curated,0.22
mazarine coffee,0.22
nitro cold,0.22
offering pourovers,0.22
pourovers espresso,0.22
rafati rotates,0.22
regular basis,0.22
roasters regular,0.22
rotates variety,0.22
shop former,0.22
techie hamid,0.22
variety roasters,0.22
bakery pastries,0.28
caf friendly,0.28
folks offers,0.28
friendly laptopwielding,0.28
laptopwielding folks,0.28
light sandwiches,0.28
morning light,0.28
offers starter,0.28
pastries morning,0.28
salads lunch,0.28
sandwiches salads,0.28
starter bakery,0.28
wifiequipped caf,0.28
beer wine,0.71
have beer,0.71
affair marble,0.33
blue bottle,0.33
bottle sansome,0.33
glorious highceilinged,0.33
highceilinged affair,0.33
marble white,0.33
sansome glorious,0.33
tiling galore,0.33
white tiling,0.33
coffee not,0.29
drink new,0.29
espresso drink,0.29
forget liege,0.29
iced coffee,0.29
liege waffle,0.29
new orleans,0.29
not forget,0.29
orleans iced,0.29
over espresso,0.29
pour over,0.29
snag pour,0.29
always line,0.45
hightraffic location,0.45
line hightraffic,0.45
location moves,0.45
moves quickly,0.45
latte pour,0.41
order latte,0.41
overs take,0.41
pour overs,0.41
rush order,0.41
take time,0.41
across hall,0.41
cocktails across,0.41
downer upper,0.41
hall treasury,0.41
need downer,0.41
upper cocktails,0.41
bay area,0.32
chain started,0.32
coffee chain,0.32
exploded rapidly,0.32
has exploded,0.32
locations bay,0.32
mission has,0.32
multiplying locations,0.32
rapidly multiplying,0.32
started mission,0.32
baristas guarantee,0.3
coffee no,0.3
cup pour,0.3
espresso machines,0.3
friendly baristas,0.3
guarantee perfect,0.3
machines friendly,0.3
no espresso,0.3
over coffee,0.3
pour over,0.3
stop cup,0.3
bagels pastries,0.38
breakfast sandwiches,0.38
food items,0.38
items available,0.38
light food,0.38
pastries breakfast,0.38
sandwiches light,0.38
addicted creamy,0.35
chain many,0.35
creamy mint,0.35
devotees local,0.35
local chain,0.35
many addicted,0.35
many devotees,0.35
mint mojito,0.35
anchor hope,0.25
caffe greco,0.25
capra focused,0.25
focused espresso,0.25
greco la,0.25
hall anchor,0.25
hanna suleiman,0.25
house partner,0.25
la capra,0.25
mitchell steve,0.25
partner hanna,0.25
rosenthal town,0.25
salt house,0.25
steve rosenthal,0.25
suleiman caffe,0.25
town hall,0.25
alongside drip,0.28
attraction rosenthal,0.28
blend italianinspired,0.28
brothers blend,0.28
coffee rotating,0.28
drip coffee,0.28
espresso alongside,0.28
italianinspired espresso,0.28
main attraction,0.28
rosenthal brothers,0.28
rotating selection,0.28
selection singleorigin,0.28
singleorigin pourovers,0.28
bakehouse starter,0.3
bakery sandwiches,0.3
fancy toppings,0.3
neighbor bakehouse,0.3
pastries neighbor,0.3
salads lunch,0.3
sandwiches salads,0.3
serve toast,0.3
starter bakery,0.3
toast variety,0.3
