key_words,key_values,category,section
partners nick,0.28,None,None
popup several,0.28,None,None
rothgeb offering,0.28,None,None
several years,0.28,None,None
shop operating,0.28,None,None
trish rothgeb,0.28,None,None
advanced pourovers,0.27,coffee,drinks
coffee shop,0.27,coffee,None
disappoint offering,0.27,None,None
does not,0.27,None,None
espresso drinks,0.27,coffee,drinks
not disappoint,0.27,None,None
offering precise,0.27,coffee,sentiment
originators term,0.27,None,None
pourovers espresso,0.27,coffee,drinks
precise technologically,0.27,None,None
shop does,0.27,None,None
technologically advanced,0.27,place,deco
term thirdwave,0.27,None,None
thirdwave coffee,0.27,coffee,None
baked goods,0.5,food,baked
bakery provides,0.5,food,baked
marla bakery,0.5,None,None
provides baked,0.5,None,None
club not,0.5,None,None
lady falcon,0.5,None,None
not coffee,0.5,None,None
shop exactly,0.5,None,None
beautiful mobile,0.29,place,deco
bread truck,0.29,None,None
citys most,0.29,None,None
into citys,0.29,None,None
into picturesque,0.29,place,deco
mobile coffee,0.29,place,deco
modified into,0.29,None,None
most beautiful,0.29,place,sentiment
operation transforming,0.29,None,None
picturesque cafe,0.29,place,deco
roving gmc,0.29,None,None
transforming every,0.29,None,None
alamo square,0.71,None,None
parked alamo,0.71,None,None
called pink,0.29,None,None
cascara steeped,0.29,coffee,drinks
cherry skins,0.29,coffee,drinks
coffee cherry,0.29,coffee,drinks
coffee drink,0.29,coffee,drinks
mochas homemade,0.29,coffee,drinks
pink crush,0.29,coffee,drinks
serving mochas,0.29,coffee,drinks
signature coffee,0.29,coffee,drinks
skins cascara,0.29,coffee,drinks
steeped hibiscus,0.29,coffee,drinks
sunday serving,0.29,None,None
beans sale,0.32,coffee,beans
buffy maguires,0.32,None,None
maguires beans,0.32,coffee,beans
ownerroaster buffy,0.32,coffee,roast
pinkhued bags,0.32,None,None
retail shelves,0.32,None,None
sale where,0.32,None,None
shelves thanks,0.32,None,None
stand retail,0.32,None,None
thanks pinkhued,0.32,None,None
coffee russian,0.38,coffee,None
focus coffee,0.38,coffee,None
hill spot,0.38,None,None
interior leaves,0.38,place,deco
leaves focus,0.38,place,deco
minimal interior,0.38,place,deco
russian hill,0.38,None,None
coffee sourced,0.27,coffee,drinks
drinks coffee,0.27,coffee,drinks
espresso drinks,0.27,coffee,drinks
food items,0.27,food,None
gives way,0.27,None,None
independent producers,0.27,None,None
items gives,0.27,None,None
limited selection,0.27,None,None
overs espresso,0.27,coffee,drinks
pour overs,0.27,coffee,drinks
selection food,0.27,food,None
sourced independent,0.27,None,None
way wellmade,0.27,food,sentiment
wellmade pour,0.27,coffee,drinks
ceramics cups,0.25,coffee,drinks
coffee shop,0.25,coffee,None
corner coffee,0.25,coffee,None
cups pleasant,0.25,coffee,sentiment
cute tiny,0.25,place,size
due proprietary,0.25,None,None
heath ceramics,0.25,place,deco
linea stands,0.25,place,go
mission linea,0.25,None,None
outdoor seating,0.25,place,out
pleasant outdoor,0.25,place,out
proprietary roast,0.25,coffee,roast
roast heath,0.25,coffee,roast
shop mission,0.25,None,None
stands due,0.25,place,stay
tiny corner,0.25,place,size
cup sidewalk,0.38,place,go
go way,0.38,place,go
quick cup,0.38,place,go
sidewalk take,0.38,place,go
stop quick,0.38,place,go
take go,0.38,place,go
way bart,0.38,None,None
artist brett,0.3,None,None
barista artist,0.3,coffee,barista
barrel barista,0.3,coffee,barista
bohemian tenderloin,0.3,None,None
brett walker,0.3,None,None
former four,0.3,None,None
four barrel,0.3,None,None
george lennie,0.3,None,None
lennie bohemian,0.3,None,None
tenderloin hangout,0.3,None,None
walker george,0.3,None,None
among earthly,0.28,None,None
array vessels,0.28,place,deco
earthly delights,0.28,None,None
eclectic array,0.28,None,None
espresso served,0.28,coffee,drinks
experience includes,0.28,None,None
green walls,0.28,place,deco
includes espresso,0.28,coffee,drinks
lime green,0.28,coffee,drinks
served eclectic,0.28,food,baked
start experience,0.28,None,None
vessels among,0.28,place,deco
walls start,0.28,None,None
aplenty come,0.38,None,None
art artists,0.38,place,deco
artists aplenty,0.38,None,None
come open,0.38,None,None
mind need,0.38,None,None
need caffeine,0.38,None,None
open mind,0.38,None,None
beer wine,0.27,coffee,drinks
coffee cultures,0.27,coffee,drinks
coffee soft,0.27,coffee,drinks
counter culture,0.27,None,None
culture coffee,0.27,coffee,drinks
cultures open,0.27,None,None
location coffee,0.27,None,None
newest location,0.27,None,None
offering counter,0.27,None,None
open soma,0.27,None,None
pastries beer,0.27,None,None
serve pastries,0.27,food,baked
soft serve,0.27,None,None
soma offering,0.27,None,None
chain giving,0.29,None,None
expand menu,0.29,None,None
fidi location,0.29,None,None
giving team,0.29,None,None
growing chain,0.29,None,None
largest location,0.29,None,None
location growing,0.29,None,None
menu original,0.29,None,None
more opportunity,0.29,None,None
opportunity expand,0.29,None,None
original fidi,0.29,None,None
team more,0.29,None,None
adding north,0.28,None,None
beachs old,0.28,None,None
beacon coffee,0.28,food,breakfast
coffee serves,0.28,coffee,None
espresso scene,0.28,coffee,None
generation dreamers,0.28,None,None
new generation,0.28,None,None
north beachs,0.28,None,None
old school,0.28,None,None
scene beacon,0.28,food,breakfast
school espresso,0.28,coffee,None
serves sightglass,0.28,None,None
sightglass new,0.28,None,None
boasts subway,0.29,None,None
dry goods,0.29,None,None
interior boasts,0.29,None,None
living wall,0.29,place,deco
pantry stocked,0.29,None,None
small pantry,0.29,None,None
spare interior,0.29,None,None
specialty dry,0.29,None,None
stocked specialty,0.29,None,None
subway tiles,0.29,None,None
tiles living,0.29,None,None
wall small,0.29,place,deco
feel glad,0.3,place,sentiment
glad know,0.3,None,None
grab seat,0.3,place,stay
large windows,0.3,place,deco
seat large,0.3,place,stay
stream way,0.3,None,None
tourists stream,0.3,None,None
watch tourists,0.3,None,None
way wharf,0.3,None,None
wharf feel,0.3,None,None
windows watch,0.3,place,out
ahmed firstgeneration,0.24,None,None
coffee shop,0.24,coffee,None
colombian growers,0.24,coffee,beans
directly ethiopian,0.24,coffee,beans
ethiopian kenyan,0.24,coffee,beans
ethiopian working,0.24,None,None
firstgeneration ethiopian,0.24,None,None
founded project,0.24,None,None
